city,lat,long,temp,humidity,cloud,wind,country,date and time
doka,13.5167,35.7667,92.28,15,18,13.0,SD,1615657496
jumla,29.2747,82.1838,40.64,77,20,3.09,NP,1615657497
staryy nadym,65.6118,72.6842,-3.32,93,100,11.07,RU,1615657497
hamilton,39.1834,-84.5333,48.7,34,1,3.44,US,1615657497
arraial do cabo,-22.9661,-42.0278,86.0,66,20,10.36,BR,1615657498
ustyuzhna,58.8394,36.4321,29.61,93,96,10.6,RU,1615657498
turukhansk,65.8167,87.9833,-29.0,95,67,7.7,RU,1615657498
aleksandrov gay,50.147,48.5704,16.29,79,92,11.27,RU,1615657499
morros,-9.4467,-46.3003,81.7,71,38,3.69,BR,1615657499
nyurba,63.2842,118.3319,7.86,89,42,10.0,RU,1615657499
norman wells,65.282,-126.8329,-11.2,77,20,3.44,CA,1615657234
vestmanna,62.1564,-7.1664,41.0,93,75,36.82,FO,1615657500
muravlenko,63.7898,74.523,6.08,96,100,6.35,RU,1615657500
le pont-de-claix,45.1244,5.7064,48.0,54,90,17.27,FR,1615657501
ketchikan,55.3422,-131.6461,33.8,100,90,8.05,US,1615657222
westport,41.1415,-73.3579,42.31,22,1,9.22,US,1615657213
mwene-ditu,-7.0,23.45,71.46,84,100,3.31,CD,1615657501
east london,-33.0153,27.9116,75.2,83,0,4.61,ZA,1615657501
wanaka,-44.7,169.15,46.54,88,0,5.55,NZ,1615657502
dakar,14.6937,-17.4441,80.6,57,4,6.91,SN,1615657333
mahajanga,-15.7167,46.3167,78.8,89,20,3.44,MG,1615657502
linxia,35.6003,103.2064,49.75,27,49,6.93,CN,1615657503
umm kaddadah,13.6017,26.6876,84.24,13,32,13.24,SD,1615657503
bengkulu,-3.8004,102.2655,76.87,82,100,5.21,ID,1615657331
pucara,-15.9803,-71.4606,68.0,49,40,8.05,PE,1615657503
puchezh,56.9788,43.1676,19.13,92,100,15.59,RU,1615657504
bandarbeyla,9.4942,50.8122,78.71,81,54,12.48,SO,1615657504
sitka,57.0531,-135.33,28.4,69,40,19.57,US,1615657504
ponta do sol,32.6667,-17.1,57.61,66,93,3.0,PT,1615657505
belmonte,-15.8631,-38.8828,86.77,58,20,11.5,BR,1615657277
amapa,1.0,-52.0,82.87,82,69,1.97,BR,1615657505
talnakh,69.4865,88.3972,-19.66,98,100,9.73,RU,1615657506
isangel,-19.55,169.2667,76.05,85,100,11.14,VU,1615657506
sulangan,11.1373,123.7228,79.21,84,100,10.49,PH,1615657506
tilichiki,60.4667,166.1,3.9,88,100,10.58,RU,1615657507
barkly west,-28.5354,24.5215,73.4,53,75,8.05,ZA,1615657507
olafsvik,64.8945,-23.7142,28.18,63,12,14.36,IS,1615657507
priargunsk,50.3691,119.1012,23.34,84,38,5.39,RU,1615657508
tessalit,20.1986,1.0114,77.25,25,0,11.5,ML,1615657508
grindavik,63.8424,-22.4338,28.4,69,75,19.57,IS,1615657508
torbay,47.6666,-52.7314,42.8,45,20,18.41,CA,1615657509
